date,server_ip,server_ASNumber,mlab_server_City,client_ip,MeanThroughputMbps,MinRTT,cc,TestTime
2022-05-21,193.201.166.139,203348,Athens,46.42.65.210,13.949823022182732,-1,Unknown,2022-05-21 21:05:12.255616 UTC
2022-09-04,193.201.166.139,203348,Athens,94.76.39.46,5.8056277674365351,-1,Unknown,2022-09-04 14:15:43.924131 UTC
2022-12-24,115.113.240.203,4755,New Delhi,109.63.112.38,2.2333321601758676,-1,Unknown,2022-12-24 22:05:25.280199 UTC
2022-09-06,193.201.166.165,203348,Athens,95.84.83.242,5.8258027328011579,-1,Unknown,2022-09-06 11:03:59.684528 UTC
2022-10-09,209.170.119.165,1299,Dallas,128.90.63.236,14.95373387583089,-1,Unknown,2022-10-09 04:48:44.560805 UTC
2022-11-12,193.201.166.165,203348,Athens,87.252.109.199,0.031580336023955075,-1,Unknown,2022-11-12 04:01:43.050999 UTC
2022-10-07,193.201.166.139,203348,Athens,37.131.42.3,27.930975552095195,-1,Unknown,2022-10-07 12:47:05.554777 UTC
2022-10-10,64.86.132.88,6453,Dallas,128.90.63.195,29.759943819642302,-1,Unknown,2022-10-10 05:27:37.31285 UTC
2022-06-11,193.201.166.152,203348,Athens,87.252.108.90,0.57069803908876826,-1,Unknown,2022-06-11 15:49:50.526662 UTC
2022-08-28,193.201.166.152,203348,Athens,95.84.88.74,8.5267132074059049,-1,Unknown,2022-08-28 19:29:55.316114 UTC
2022-10-07,193.201.166.139,203348,Athens,37.131.42.22,5.3087483308426791,-1,Unknown,2022-10-07 23:31:34.725535 UTC
2022-05-27,173.205.4.88,3257,New York,95.84.91.58,46.38355525796262,-1,Unknown,2022-05-27 16:37:24.314196 UTC
2022-08-05,193.201.166.139,203348,Athens,87.252.111.181,4.521001731616229,-1,Unknown,2022-08-05 05:00:16.802675 UTC
2022-07-26,193.201.166.152,203348,Athens,87.252.109.172,4.5654694326131242,-1,Unknown,2022-07-26 21:26:53.276811 UTC
2022-10-06,193.201.166.139,203348,Athens,87.252.108.249,0.49471412633752382,-1,Unknown,2022-10-06 16:30:51.071731 UTC
2022-05-05,38.65.210.203,174,Chicago,128.90.63.135,0.543401523508207,-1,Unknown,2022-05-05 05:24:55.457799 UTC
2022-05-30,193.201.166.139,203348,Athens,46.42.69.35,0.80721867327548846,-1,Unknown,2022-05-30 02:47:08.274157 UTC
2022-05-27,173.205.4.88,3257,New York,95.84.91.58,52.705029807937755,-1,Unknown,2022-05-27 16:38:24.804422 UTC
