date,Throughput_Doha
2019-01-31,5.2262929264211095
2019-02-28,7.826864113059654
2019-03-31,9.41428186765997
2019-04-30,11.82980020961659
2019-05-31,14.848683240007391
2019-06-30,16.19068656204697
2019-07-31,14.185930521970592
2019-08-31,14.872646307623752
2019-09-30,11.886062778964822
2019-10-31,14.784051751200016
2019-11-30,31.558462055681957
2019-12-31,27.976385565822948
2020-01-31,27.0921412213035
2020-02-29,34.7767194999356
2020-03-31,26.39714880978985
2020-04-30,28.23422200739648
2020-05-31,31.33198995179189
2020-06-30,28.90093351571049
2020-07-31,26.107041823162337
2020-08-31,24.270591859628386
2020-09-30,23.199228540803656
2020-10-31,22.88835050945768
2020-11-30,23.932700955044726
2020-12-31,23.535157728837202
2021-01-31,27.96457540550355
2021-02-28,24.313623196751507
2021-03-31,22.835317733984052
2021-04-30,23.71597148899069
2021-05-31,26.10559022170166
2021-06-30,25.247150851708707
2021-07-31,26.756933480296166
2021-08-31,25.092012040391293
2021-09-30,24.55549416597528
2021-10-31,25.467559602629212
2021-11-30,23.98170854505279
2021-12-31,27.628951618305233
2022-01-31,23.783529766959006
2022-02-28,29.40568075125781
2022-03-31,25.629401696547927
2022-04-30,25.123882225875484
2022-05-31,35.34047476445447
2022-06-30,32.97067656675824
2022-07-31,31.514593093889527
2022-08-31,47.46764072413377
2022-09-30,46.15160267253938
2022-10-31,51.09811110359608
2022-11-30,62.8964109199981
2022-12-31,52.64604567696174
2023-01-31,57.48078074962102
2023-02-28,57.35122649375414
2023-03-31,57.125968886115366
2023-04-30,52.54238535814168
2023-05-31,55.361461740549025
2023-06-30,56.24520435971201
2023-07-31,57.020180963001664
2023-08-31,54.03504739371646
2023-09-30,52.098077052320335
2023-10-31,60.4143787100525
2023-11-30,74.80666202001132
2023-12-31,75.28413456746233
2024-01-31,86.48522787564673
2024-02-29,106.32763325178148
2024-03-31,141.95010633878698
2024-04-30,155.3418572614477
2024-05-31,134.20536916447466
2024-06-30,132.483211409455
2024-07-31,139.05620602614636
2024-08-31,134.66322464718957
2024-09-30,139.07076315736646
2024-10-31,160.27177594109943
2024-11-30,157.14398137816292
2024-12-31,157.71741683136477
