City,2019 Average (Mbps),2024 Average (Mbps),% Increase,2019 Rank,2024 Rank
Doha,15.05,137.06,811,2,1
Dubai,16.73,119.36,614,1,2
Manama,6.81,84.33,1138,6,3
Muscat,7.08,80,1031,5,4
Kuwaitcity,8.53,68.2,699,4,5
Riyadh,10.4,54.53,424,3,6
