date,Throughput_Riyadh
2019-01-31,4.030051366110739
2019-02-28,4.2733440295246785
2019-03-31,4.2459656882478924
2019-04-30,6.692586361988911
2019-05-31,6.954968523375667
2019-06-30,7.200043465561441
2019-07-31,5.117362012234045
2019-08-31,7.846263005094286
2019-09-30,8.433791090048484
2019-10-31,8.73071444765391
2019-11-30,10.240765200551465
2019-12-31,10.916488143707152
2020-01-31,11.015987662351352
2020-02-29,11.411876674584372
2020-03-31,9.820667351237994
2020-04-30,9.882204205426017
2020-05-31,10.682267488966081
2020-06-30,12.099548425984729
2020-07-31,11.274649725324107
2020-08-31,10.386019738855541
2020-09-30,10.65254086159372
2020-10-31,12.346585380492003
2020-11-30,11.891255440222857
2020-12-31,12.835980710087478
2021-01-31,13.811362284971016
2021-02-28,12.302000833259296
2021-03-31,11.540954219171438
2021-04-30,14.740589788944984
2021-05-31,13.737980012397209
2021-06-30,11.776195416068479
2021-07-31,15.339736802451567
2021-08-31,14.457650439372541
2021-09-30,14.426601966713763
2021-10-31,14.788826771995822
2021-11-30,15.38115902679397
2021-12-31,16.067403900682258
2022-01-31,15.94768109400258
2022-02-28,15.960785457662137
2022-03-31,16.349318144617776
2022-04-30,17.712402916682638
2022-05-31,17.173806266994383
2022-06-30,16.987189828931392
2022-07-31,16.985234770692855
2022-08-31,16.91337908409863
2022-09-30,16.49049959186966
2022-10-31,15.422562001124158
2022-11-30,15.881693118804442
2022-12-31,12.838257364533442
2023-01-31,13.265601798093051
2023-02-28,14.900211264923637
2023-03-31,16.388867455281666
2023-04-30,18.528504049094252
2023-05-31,20.29531565344239
2023-06-30,19.727929190317816
2023-07-31,19.28992679926922
2023-08-31,19.036846390581157
2023-09-30,19.20093703755219
2023-10-31,21.05857799925843
2023-11-30,19.350618224804116
2023-12-31,21.207433908639164
2024-01-31,24.172651820347042
2024-01-31,24.172651820347042
2024-02-29,23.848391926889608
2024-02-29,23.848391926889608
2024-03-31,22.777130838148583
2024-03-31,22.777130838148583
2024-04-30,22.551333753768578
2024-04-30,22.551333753768578
2024-05-31,24.042761789788102
2024-05-31,24.042761789788102
2024-06-30,24.345281894874933
2024-06-30,24.345281894874933
2024-07-31,23.454908779381366
2024-07-31,23.454908779381366
2024-08-31,22.587519838066974
2024-08-31,22.587519838066974
2024-09-30,24.76093244477793
2024-09-30,24.76093244477793
2024-10-31,25.266536032630338
2024-10-31,25.266536032630338
2024-11-30,25.487581340976917
2024-11-30,25.487581340976917
2024-12-31,24.71439871946279
2024-12-31,24.71439871946279
