date,Throughput_Muscat
2019-01-31,5.072854365376131
2019-02-28,3.91216895809615
2019-03-31,4.477805279223678
2019-04-30,5.290512639191081
2019-05-31,6.046910434606202
2019-06-30,7.133382703657308
2019-07-31,5.1003324243065356
2019-08-31,6.0192645384164205
2019-09-30,6.6215831454696765
2019-10-31,6.38779715706192
2019-11-30,11.536339299465016
2019-12-31,17.306887174671992
2020-01-31,17.23945849087185
2020-02-29,13.314409679935858
2020-03-31,10.78927168418115
2020-04-30,11.956238648083191
2020-05-31,21.026824709666887
2020-06-30,18.968774281729388
2020-07-31,18.94655069959779
2020-08-31,16.67917623870788
2020-09-30,18.946493406189976
2020-10-31,17.219793469908513
2020-11-30,16.606539620036244
2020-12-31,17.799276637910168
2021-01-31,20.607112954339136
2021-02-28,17.17198633119718
2021-03-31,16.246620295293727
2021-04-30,16.26906123476129
2021-05-31,15.872704431222504
2021-06-30,15.665547343364665
2021-07-31,17.662457996701026
2021-08-31,16.06099264948966
2021-09-30,19.62628863706198
2021-10-31,15.279808038321773
2021-11-30,17.291968226168756
2021-12-31,17.644939615569616
2022-01-31,16.25663684744252
2022-02-28,16.80576475444314
2022-03-31,16.770393639987685
2022-04-30,19.400995604806763
2022-05-31,21.555205338436576
2022-06-30,17.864220086499817
2022-07-31,19.771400779023857
2022-08-31,26.572403019282124
2022-09-30,24.448026629437404
2022-10-31,30.422613190501323
2022-11-30,39.52063662793136
2022-12-31,42.43727077684543
2023-01-31,44.92291105525423
2023-02-28,38.503481963029124
2023-03-31,31.118198522475442
2023-04-30,34.51509238304946
2023-05-31,33.544538582631915
2023-06-30,32.259772471422224
2023-07-31,33.16756879316468
2023-08-31,30.211872261951875
2023-09-30,34.37756836577946
2023-10-31,44.000146820398825
2023-11-30,46.864326000710705
2023-12-31,55.803697066688564
2024-01-31,61.726415982133865
2024-02-29,68.32295164918014
2024-03-31,81.03705382755571
2024-04-30,89.80540926151366
2024-05-31,84.049675767093
2024-06-30,77.99137357896426
2024-07-31,83.75212508057382
2024-08-31,87.73186101643672
2024-09-30,80.34903996393004
2024-10-31,77.42129748996953
2024-11-30,86.5622738712154
2024-12-31,81.31046183940985
