date,Throughput_Manama
2019-01-31,6.447837955960531
2019-02-28,4.873720030345827
2019-03-31,5.517677104849982
2019-04-30,5.611887320576957
2019-05-31,5.752472726662309
2019-06-30,7.9259389775445035
2019-07-31,5.372652253812702
2019-08-31,6.519009824971021
2019-09-30,7.527801580760721
2019-10-31,7.328355042246073
2019-11-30,9.326349170385106
2019-12-31,9.51762744572788
2020-01-31,10.558622143549812
2020-02-29,10.475500396308362
2020-03-31,10.004757372613177
2020-04-30,13.753241727164095
2020-05-31,13.885624821517824
2020-06-30,17.251562873639454
2020-07-31,17.027328489840713
2020-08-31,15.633451912232637
2020-09-30,17.10863456434704
2020-10-31,13.143067836762013
2020-11-30,11.790778572064236
2020-12-31,17.301291454189357
2021-01-31,19.107350159887854
2021-02-28,18.45248367342493
2021-03-31,15.43192376278486
2021-04-30,14.572692579600965
2021-05-31,15.339015695060041
2021-06-30,14.325231576342778
2021-07-31,13.747334944534355
2021-08-31,20.583908925732555
2021-09-30,19.94672574802989
2021-10-31,17.05546035089211
2021-11-30,11.591203480453805
2021-12-31,26.69227613990231
2022-01-31,17.42749960186139
2022-02-28,13.085016005812285
2022-03-31,13.648023645605639
2022-04-30,11.44978985431465
2022-05-31,17.99511999844174
2022-06-30,26.266586695797617
2022-07-31,30.6691165851408
2022-08-31,28.814777068392118
2022-09-30,28.359346732817883
2022-10-31,42.83979625339588
2022-11-30,68.89434699699521
2022-12-31,63.831291400101286
2023-01-31,61.69424069684496
2023-02-28,47.708363875570456
2023-03-31,36.19635290513189
2023-04-30,35.09095875908435
2023-05-31,33.57092560968668
2023-06-30,34.8990423899587
2023-07-31,38.0222080544147
2023-08-31,39.14379792779033
2023-09-30,42.1910066327752
2023-10-31,60.91604159105195
2023-11-30,48.6429401564132
2023-12-31,81.2572097708483
2024-01-31,69.47597289362218
2024-02-29,76.37833488645654
2024-03-31,91.00076324779737
2024-04-30,89.65997771710454
2024-05-31,80.16907347633882
2024-06-30,75.11022659650017
2024-07-31,74.71814029530277
2024-08-31,62.277007873000144
2024-09-30,84.3449617690413
2024-10-31,96.89526298738537
2024-11-30,106.25824121647756
2024-12-31,105.64003864645827
