date,riyadh_upload_mbps,dubai_upload_mbps,kuwaitcity_upload_mbps,doha_upload_mbps,manama_upload_mbps,muscat_upload_mbps
2018-01-31,2.3911248496408093,3.514541223553062,2.496254048165363,3.3848080942619267,2.2069291199569037,1.9658074663729417
2018-02-28,3.458165408735055,4.075332822089991,4.163747826309716,4.2842287682756055,2.464298086035519,4.026014698618073
2018-03-31,3.341722369775635,4.518224425358503,3.375474636766154,5.0334928315048675,2.486170823483054,5.010482611837895
2018-04-30,3.3406446721885423,4.528524265460039,3.959367403457664,6.104496644885522,2.608743162802842,7.987738240028317
2018-05-31,3.7509341904732834,4.715938133734307,4.20210517750836,5.882095611170972,2.4148024930657597,8.455492516968167
2018-06-30,4.158426363920793,4.473887218357582,4.438554349061905,5.1063222295333945,2.5925955824681006,7.774168801765442
2018-07-31,4.085432895588559,4.398386688351517,4.592003687217,5.5890267939556155,2.5216616005932186,7.929372467073076
2018-08-31,3.9989366991652964,4.419037976381833,4.729108957009444,5.533775565384875,2.2341736042352602,7.0050126512152096
2018-09-30,4.482968501550768,4.821260075698236,4.957842221487067,5.446546186341032,2.0444294183277885,5.435418668172566
2018-10-31,4.176413249525894,5.554214231615491,5.343593418028679,5.33951518811582,2.0496432726325886,6.018902823750075
2018-11-30,4.435564609698728,5.7249614004311455,5.657115807586313,5.497952811010165,1.8303556678628823,7.0732749510565265
2018-12-31,4.168883935654682,6.18472118112442,5.494845224171149,5.219395515632749,2.3660976564107434,5.751294051574986
2019-01-31,4.030051366110739,6.419793648306399,4.477674604213599,8.925285023959239,2.45236356535245,5.134423537997614
2019-02-28,4.2733440295246785,6.945525517348521,4.273843070347321,9.95593513570673,2.0266156336705903,4.604560992185502
2019-03-31,4.2459656882478924,7.54531860921774,5.871665451600838,10.778606492682137,1.9759154351658939,4.6825942027865
2019-04-30,6.692586361988911,7.084090763393248,7.555580657442738,13.337359203814408,3.3059602887297252,5.572073728550977
2019-05-31,6.954968523375667,7.105323689753899,9.284054405589528,15.963924135417821,2.9610304036180537,5.1405543203925115
2019-06-30,7.200043465561441,8.679230854599554,9.022843955549982,17.440411692312395,3.1478067857078624,4.216340102924933
2019-07-31,5.117362012234045,9.35938894873608,8.024528107508017,17.61200922650846,2.805127777747529,3.8569317267667276
2019-08-31,7.846263005094286,8.502303452325437,12.672599902141402,18.320305200984265,2.2679959408959847,4.363457136862928
2019-09-30,8.433791090048484,8.756039417413097,11.785689432364814,18.302959912469476,3.0522842788286217,4.96572749885796
2019-10-31,8.73071444765391,10.030020794744342,10.49206007599363,17.77713689631674,2.957434122623712,5.8905433655668595
2019-11-30,10.240765200551465,11.93119118934468,13.909336484875112,25.53035308894767,4.303509980844888,5.801582643146361
2019-12-31,10.916488143707152,13.163268535973263,15.41126063126972,23.440723450687095,5.258024695470059,6.643187061504123
2020-01-31,11.015987662351352,14.096541859587001,14.542837249522716,24.329313839833542,4.497216069355812,7.516551166054018
2020-02-29,11.411876674584372,12.21291718143892,15.076931368413856,25.39645903504826,4.434152270543562,6.55994535264878
2020-03-31,9.820667351237994,13.191218316515176,12.358166722979398,22.711014161851,5.728777695237825,6.079426157082944
2020-04-30,9.882204205426017,15.559614721317113,12.100948722288084,26.634851180342427,6.825088729070731,7.098366025782115
2020-05-31,10.682267488966081,16.310244120913072,13.50400781135797,29.88526791338498,7.848315470998882,8.19672789842308
2020-06-30,12.099548425984729,34.80748081431825,13.406019595260334,26.06556464752206,7.490706299181938,6.584721340258214
2020-07-31,11.274649725324107,32.9625834031439,13.815224372517436,25.6682202409566,8.537524259320742,6.636141568861636
2020-08-31,10.386019738855541,28.882775491101434,12.8849453716204,24.513834036833376,13.427288792332869,7.053412871921027
2020-09-30,10.65254086159372,27.86867683889233,13.952125961013824,18.03193836849432,15.129538435325113,8.701472993357847
2020-10-31,12.346585380492003,27.60477935815148,15.417626598309297,23.644301217204877,13.446320222934256,9.045026175893385
2020-11-30,11.891255440222857,28.66588793159346,14.585919057567258,26.662212202004177,11.144694837024911,8.774146186060443
2020-12-31,12.835980710087478,33.88652225758795,13.152868311131572,24.60602670605909,14.148435425838276,9.842986861882776
