date,Throughput_Muscat
2019-01-31,5.134423537997614
2019-02-28,4.604560992185502
2019-03-31,4.6825942027865
2019-04-30,5.572073728550977
2019-05-31,5.1405543203925115
2019-06-30,4.216340102924933
2019-07-31,3.8569317267667276
2019-08-31,4.363457136862928
2019-09-30,4.96572749885796
2019-10-31,5.8905433655668595
2019-11-30,5.801582643146361
2019-12-31,6.643187061504123
2020-01-31,7.516551166054018
2020-02-29,6.55994535264878
2020-03-31,6.079426157082944
2020-04-30,7.098366025782115
2020-05-31,8.19672789842308
2020-06-30,6.584721340258214
2020-07-31,6.636141568861636
2020-08-31,7.053412871921027
2020-09-30,8.701472993357847
2020-10-31,9.045026175893385
2020-11-30,8.774146186060443
2020-12-31,9.842986861882776
2021-01-31,10.945834690802352
2021-02-28,9.985776069040421
2021-03-31,10.173594973603626
2021-04-30,11.057092026102023
2021-05-31,11.327132668590362
2021-06-30,10.92551328914538
2021-07-31,12.59906781335374
2021-08-31,11.899946384252361
2021-09-30,12.801157954398938
2021-10-31,11.45573010155935
2021-11-30,8.54731617743727
2021-12-31,9.074899165287826
2022-01-31,9.039906643083135
2022-02-28,10.09260239197263
2022-03-31,10.294811483282524
2022-04-30,10.844215755824221
2022-05-31,15.863976913044146
2022-06-30,13.632608962498047
2022-07-31,14.999500817064352
2022-08-31,14.822847052338266
2022-09-30,14.926748945107105
2022-10-31,16.312436860513507
2022-11-30,16.04777366145707
2022-12-31,14.336251050200929
2023-01-31,12.758709410718723
2023-02-28,21.62786294500033
2023-03-31,22.480317871276036
2023-04-30,22.25803801772128
2023-05-31,20.32050306374972
2023-06-30,15.239018052205623
2023-07-31,21.317078245396026
2023-08-31,20.65772301306512
2023-09-30,22.05645445363911
2023-10-31,24.310987787846237
2023-11-30,24.07679972553765
2023-12-31,26.88549350015389
2024-01-31,28.04858237439217
2024-02-29,28.778429527339
2024-03-31,33.19876396897844
2024-04-30,38.373900816051965
2024-05-31,35.72718984262306
2024-06-30,33.81063757091856
2024-07-31,33.65102326935568
2024-08-31,38.604749478387895
2024-09-30,33.57908853079586
2024-10-31,33.133190379683626
2024-11-30,31.68338188275478
2024-12-31,34.244592915431674
